espanso	Hi there!	Welcome message
shell	echo 'Hello from your shell'	Print the output of a shell command
hi	Hi Okan!	Greeting
git	o https://github.com/okanbatuk	Open GitHub profile
ff	fastfetch	System information summary
op	xdg-open .	Open current directory in file manager
zed	zeditor	Open Zed editor
wind	windsurf	Open Windsurf IDE
go	google.com	Google search
alsa	alsamixer	Audio mixer
proj	~/Desktop/Projects/	Projects directory path
